ADMINISTRATIVE DATA,,,TURNOUT,,,,,,,REJECTED BALLOTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,A. Issue of postal ballot papers,,,,,B (1). Receipt of and replacement postal ballot papers,,,,,,,,,B (2). Receipt of postal ballot papers – Personal Identifiers,,,C. Count of postal ballot papers,,Additional data,,,4) How many postal votes were rejected for:,,,,,,,,,,,,,,,,,,,,,,
ONS Code,Press association number ,Constituency,Electorate ,Total number of valid votes counted,Valid vote turnout (all valid votes),Total number of ballots at count ,Ballot box turnout (inc votes rejected at count),Total number of ballots returned by close of poll,Total vote turnout (inc postal votes rejected and votes  rejected at count),Number of ballot papers rejected or not counted at the count for a) want of official mark,Number of ballot papers rejected at the count for b) voting more than once,Number of ballot papers rejected at the count for c) Writing or mark by which the voter could be identified,Number of ballot papers rejected at the count for d) unmarked or wholly void for uncertainty,Number of ballot papers rejected at the count for e) rejected in part,Total number of ballot papers rejected at the count ,1. Total number of postal ballot papers issued under regulation 71,"2. Total number of postal ballot papers issued under regulation 77 (spoilt and returned for cancellation), regulation 78 (lost or not received) and regulation 78A (cancelled due to change of address)","3. Total number of postal ballot papers cancelled under regulation 86A (where the first ballot paper was cancelled and retrieved)
",4. Total number of postal ballot papers issued (1 to 3),5. Total number of ballot papers cancelled under regulation 78A,"6. Number of covering envelopes received by the Returning Officer or at a polling station before the close of poll (excluding any undelivered or returned under regulation 77(1) (spoilt), regulation 78(1) (lost) and regulation 86A (cancelled ballot papers))","7. Number of covering envelopes received by the returning officer after the close of poll, excluding any returned as undelivered
",8. Number of postal ballot papers returned spoilt for cancellation in time for another ballot paper to be issued,9. Number of postal ballot papers identified as lost or not received in time for another ballot paper to be issued,10. Number of ballot papers cancelled and retrieved in time for another ballot paper to be issued,"11.Number of postal ballot papers returned as spoilt too late for another
 ballot paper to be issued","12.Number of covering envelopes returned as undelivered 
(up to the 25th day after the date of poll)","13. Number of covering envelopes not received by the Returning Officer 
(by the 25th day after the date of poll)","14. Total numbers 6 to 13 (this should be the same as that in 4 above)
","15. Number of covering envelopes set aside for the verification of personal identifiers on postal voting statements
","16. Number of postal voting statements subject to verification procedure 
rejected as not completed (excluding prior cancellations)",17. Number of postal voting statements rejected following verification procedures due to the personal identifiers on the postal voting statement not matching those in the personal identifiers record (excluding prior cancellations),"18. Number of ballot papers returned by postal voters which were included in the count of ballot papers
","19. Number of cases in which a covering envelope or its contents were 
marked “Rejected” (cancellations under regulations 77, 78,78A and 86A are not rejections and should be included in items 2, 3, 5, 8, 9 and 10 above)",1) How many proxies were appointed for these elections?,2) How many emergency proxies were appointed for these elections?,3) How many waivers were granted for these elections?,a) Want of a signature,b) Want of a date of birth,c) Want of both,d) Mismatched signature,e) Mismatched DoB,f) Both mismatched,g) Ballot paper unreturned ,h) Postal voting statement unreturned ,5) What was the total number of polling stations used?,6) How many covering envelopes were returned on polling day before 10pm?,7) How many covering envelopes were returned on the day after polling day before 10pm?,15) How many people tried to vote on polling day and were found not to be registered?,17) What was your issue date for postal votes sent overseas?,18) What was your delivery date for postal votes sent to electors in the UK?,19) How many covering envelopes were returned  via the final Royal Mail sweep on polling day in time to be counted?,21) a) At what time did verification begin?,22) b) At what time did verification end?,23) a) At what time did counting the votes on the ballot papers begin?,23) b) At what time did counting the votes on the ballot papers end?,24) Was the count suspended?,25) How many recounts did you hold? ,26) a) How many people were in a queue by 10pm and were waiting to vote at a polling station at the close of poll?,26) b) How many people joined a queue after 10pm and were waiting to vote at a polling station at the close of poll?
W07000049,1,Aberavon,"49,892","33,268",66.7%,"33,325",66.8%,"33,489",67.1%,0,16,,41,0,57,"11,102",19,0,"11,121",0,"8,848",7,1,18,0,0,15,"2,232","11,121","8,848",151,99,"8,684",164,152,2,43,26,2,10,18,69,10,19,6,52,408,4, ,19/05/17,26/05/17,43,22:00:00,00:15:00,00:30:00,02:35:00,No,0,0,0
W07000058,2,Aberconwy,"45,251","32,152",71.1%,"32,230",71.2%,"32,362",71.5%,0,20,0,58,0,78,"8,360",79,0,"8,439",33,"7,255",17,5,41,0,0,13,"1,108","8,439","7,255",11,84,"7,123",132,308,18,75,4,7,0,9,55,20,16,21,37,538,5,5,22/05/17,23/05/17,22,22:00:00,23:59:00,23:00:00,02:15:00,No,0,0,0
S14000001,3,Aberdeen North,"62,130","36,757",59.2%,"36,812",59.2%,"37,031",59.6%,0,13,0,42,0,55,"14,140",46,0,"14,186",0,"11,555",41,0,7,0,0,76,"2,507","14,186","11,514",62,91,"11,336",153,383,3,87,21,8,33,5,72,14,25,17,69,646,24, ,19/05/17,23/05/17,369,22:00:00,00:00:00,00:45:00,02:15:00,No,0,0,0
S14000002,4,Aberdeen South,"64,964","44,493",68.5%,"44,556",68.6%,"44,790",68.9%,0,12,0,51,0,63,"16,534",74,0,"16,608",0,"14,033",55,4,12,0,0,76,"2,428","16,608","13,978",62,89,"13,799",151,732,21,92,15,9,38,5,67,17,28,18,69,655,32, ,19/05/17,23/05/17,308,22:00:00,00:20:00,01:00:00,02:45:00,No,0,0,0
S14000003,6,Airdrie and Shotts,"64,146","38,002",59.2%,"38,049",59.3%,"38,170",59.5%,0,13,0,34,0,47,"8,619",23,0,"8,642",21,"6,656",13,3,20,0,0,41,"1,909","8,642","6,593",28,20,"6,535",48,186,10,82,12,3,13,15,3,2,2,12,63,688,0,25,19/05/17,22/05/17,43,22:10:00,23:10:00,00:30:00,02:45:00,No,0,0,0
E14000530,7,Aldershot,"76,205","48,998",64.3%,"49,100",64.4%,"49,303",64.7%,1,23,0,78,0,102,"11,632",54,0,"11,686",189,"10,672",55,2,51,0,0,34,872,"11,686","10,672",102,66,"10,469",187,357,41,52,10,4,88,21,36,9,12,14,52,"10,672",14,78,17/05/17,25/05/17,55,22:15:00,00:50:00,01:00:00,02:25:00,No,0,3,3
E14000531,8,Aldridge-Brownhills,"60,363","40,235",66.7%,"40,322",66.8%,"40,399",66.9%,0,21,4,62,0,87,"8,930",10,0,"8,940",14,"7,625",33,1,8,0,0,17,"1,256","8,940","7,625",31,46,"7,548",77,264,8,48,6,6,7,6,31,7,10,2,40,546,19,0,15/05/17,23/05/17,38,22:15:00,23:30:00,23:30:00,03:15:00,No,0,0,0
E14000532,9,Altrincham and Sale West,"73,225","52,926",72.3%,"53,058",72.5%,"53,711",73.4%,0,29,1,102,0,132,"23,113",180,0,"23,293",94,"19,899",38,20,66,0,0,24,"3,152","23,199","19,899",74,316,"19,246",390,587,144,152,20,4,50,112,164,40,18,12,54,"19,899",29, ,17/05/17,26/05/17,136,22:00:00,00:30:00,00:05:00,03:03:00,No,0,0,0
W07000043,10,Alyn and Deeside,"63,012","44,745",71.0%,"44,829",71.1%,"45,109",71.6%,0,17,4,63,0,84,"11,183",47,0,"11,230",7,"9,790",26,39,1,0,0,0,"1,366","11,222","9,790",4,155,"9,510",0,264,78,58,1,2,1,68,46,41,0,0,42,929,5, ,24/05/17,18/05/17, ,22:00:00,00:00:00,00:00:00,02:04:00,No,0,0,0
