Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2020-07-31T23:08:00+00:00,,,52.553269,-1.900049,,25-34,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Community resolution,,False
Person search,2020-07-31T23:45:00+00:00,,,52.477251,-1.912118,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-07-31T23:47:00+00:00,,,52.477251,-1.912118,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2020-07-31T23:58:00+00:00,,,52.483748,-1.936019,,18-24,Black/African/Caribbean/Black British - African,,Firearms Act 1968 (section 47),Firearms,Arrest,,False
Person and Vehicle search,2020-07-31T23:58:00+00:00,,,52.483748,-1.936019,,18-24,Black/African/Caribbean/Black British - African,,Firearms Act 1968 (section 47),Firearms,Arrest,,False
Person and Vehicle search,2020-08-01T00:14:00+00:00,,,52.396426,-2.017400,,25-34,Black/African/Caribbean/Black British - African,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2020-08-01T00:25:00+00:00,,,52.499180,-2.026471,,10-17,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,,False
Person search,2020-08-01T00:51:00+00:00,,,52.590502,-1.999765,,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,A no further action disposal,,False
Person search,2020-08-01T00:58:00+00:00,,,52.429420,-1.951246,,over 34,Black/African/Caribbean/Black British - Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2020-08-01T01:12:00+00:00,,,52.407088,-1.950770,,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Criminal Justice and Public Order Act 1994 (section 60),Offensive weapons,A no further action disposal,,False
Person search,2020-08-01T01:13:00+00:00,,,52.474919,-2.004623,,,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-01T01:34:00+00:00,,,52.436666,-1.989174,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2020-08-01T01:40:00+00:00,,,52.436666,-1.989174,,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2020-08-01T02:20:00+00:00,,,52.444504,-1.931868,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2020-08-01T02:33:00+00:00,,,52.567792,-2.081337,,,Black/African/Caribbean/Black British - Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2020-08-01T03:22:00+00:00,,,52.477214,-1.911043,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2020-08-01T03:35:00+00:00,,,52.585421,-1.982423,,25-34,Mixed/Multiple ethnic groups - White and Black Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2020-08-01T04:22:00+00:00,,,52.491143,-2.025156,,18-24,White - Any other White background,Other,Firearms Act 1968 (section 47),Firearms,A no further action disposal,,False
Person search,2020-08-01T05:18:00+00:00,,,52.585412,-1.982969,,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,False,False
Person search,2020-08-01T05:37:00+00:00,,,52.494446,-1.870032,,,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2020-08-01T10:27:00+00:00,,,52.479889,-1.852745,,,Asian/Asian British - Indian,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2020-08-01T12:25:00+00:00,,,52.417055,-1.461173,,18-24,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,,False
Person search,2020-08-01T12:26:00+00:00,,,52.582634,-1.979575,,25-34,White - Any other White background,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,False
Person search,2020-08-01T12:33:00+00:00,,,52.582319,-1.980623,,18-24,White - Any other White background,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,False
Person search,2020-08-01T12:58:00+00:00,,,52.518241,-1.995344,,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2020-08-01T14:07:00+00:00,,,52.600284,-2.041238,,over 34,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person and Vehicle search,2020-08-01T15:42:00+00:00,,,52.448505,-1.839313,,18-24,Black/African/Caribbean/Black British - Caribbean,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person search,2020-08-01T15:42:00+00:00,,,52.448505,-1.839313,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person and Vehicle search,2020-08-01T15:52:00+00:00,,,52.522717,-1.860030,,over 34,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-01T16:22:00+00:00,,,52.508112,-1.938680,,10-17,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-01T17:23:00+00:00,,,52.378428,-1.820617,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2020-08-01T17:24:00+00:00,,,52.377077,-1.813204,,25-34,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2020-08-01T17:25:00+00:00,,,52.451500,-1.999058,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2020-08-01T17:30:00+00:00,,,52.412755,-1.499288,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2020-08-01T17:38:00+00:00,,,52.413045,-1.497844,,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-01T17:41:00+00:00,,,52.413045,-1.497844,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Vehicle search,2020-08-01T17:43:00+00:00,,,52.576615,-2.119277,,,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,
Person search,2020-08-01T17:43:00+00:00,,,52.413495,-1.497912,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-01T18:36:00+00:00,,,52.492980,-1.847163,,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person and Vehicle search,2020-08-01T18:36:00+00:00,,,52.492980,-1.847163,,18-24,Asian/Asian British - Pakistani,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Vehicle search,2020-08-01T19:15:00+00:00,,,52.454894,-1.873989,,,,,Firearms Act 1968 (section 47),Firearms,A no further action disposal,,
Person search,2020-08-01T19:15:00+00:00,,,52.454894,-1.873989,,25-34,Asian/Asian British - Pakistani,Asian,Firearms Act 1968 (section 47),Firearms,A no further action disposal,,False
Person search,2020-08-01T19:15:00+00:00,,,52.454894,-1.873989,,25-34,Asian/Asian British - Pakistani,Asian,Firearms Act 1968 (section 47),Firearms,A no further action disposal,,False
Person search,2020-08-01T19:55:00+00:00,,,52.507138,-2.012877,,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2020-08-01T19:55:00+00:00,,,52.550993,-1.908844,,18-24,Black/African/Caribbean/Black British - Caribbean,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-01T19:55:00+00:00,,,52.550993,-1.908844,,18-24,Black/African/Caribbean/Black British - Caribbean,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-01T19:57:00+00:00,,,52.508846,-2.015309,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2020-08-01T20:13:00+00:00,,,52.444773,-1.825394,,,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-01T20:48:00+00:00,,,52.478291,-2.121087,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,False
Person search,2020-08-01T21:20:00+00:00,,,52.442564,-1.933798,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2020-08-01T21:24:00+00:00,,,52.418499,-1.545996,,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-01T21:25:00+00:00,,,52.438021,-1.893352,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2020-08-01T21:35:00+00:00,,,52.408026,-1.848104,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person search,2020-08-01T22:46:00+00:00,,,52.408026,-1.848104,,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person search,2020-08-01T23:10:00+00:00,,,52.483926,-2.122943,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Vehicle search,2020-08-01T23:26:00+00:00,,,52.567986,-1.823563,,,,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,False,
Person search,2020-08-01T23:57:00+00:00,,,52.480054,-1.898419,,25-34,White - Any other White background,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2020-08-02T00:23:00+00:00,,,52.482367,-1.901962,,18-24,Black/African/Caribbean/Black British - African,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,False
Person search,2020-08-02T00:23:00+00:00,,,52.482367,-1.901962,,18-24,Black/African/Caribbean/Black British - African,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,False
Person search,2020-08-02T00:23:00+00:00,,,52.482367,-1.901962,,18-24,Black/African/Caribbean/Black British - Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,False
Vehicle search,2020-08-02T00:43:00+00:00,,,52.589572,-2.125276,,,,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,
Person search,2020-08-02T00:53:00+00:00,,,52.477692,-2.085955,,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person search,2020-08-02T01:02:00+00:00,,,52.477692,-2.085955,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person search,2020-08-02T03:23:00+00:00,,,52.495811,-1.846123,,over 34,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Vehicle search,2020-08-02T06:49:00+00:00,,,52.484622,-1.841980,,,,,Firearms Act 1968 (section 47),Firearms,A no further action disposal,,
Vehicle search,2020-08-02T06:52:00+00:00,,,52.485267,-1.840814,,,,,Firearms Act 1968 (section 47),Firearms,A no further action disposal,,
Person search,2020-08-02T08:45:00+00:00,,,52.482908,-1.893568,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2020-08-02T09:38:00+00:00,,,52.512978,-2.085774,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2020-08-02T10:01:00+00:00,,,52.521698,-2.072217,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Vehicle search,2020-08-02T11:47:00+00:00,,,52.493495,-1.829149,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2020-08-02T11:48:00+00:00,,,52.601474,-2.141714,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,False
Person and Vehicle search,2020-08-02T11:59:00+00:00,,,52.491615,-1.898510,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person search,2020-08-02T12:18:00+00:00,,,52.517364,-1.901265,,,Black/African/Caribbean/Black British - Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Vehicle search,2020-08-02T12:36:00+00:00,,,52.504764,-2.017974,,,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,
Person search,2020-08-02T13:59:00+00:00,,,52.586976,-1.978068,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person search,2020-08-02T14:13:00+00:00,,,52.583116,-2.072982,,over 34,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2020-08-02T14:21:00+00:00,,,52.584185,-2.075242,,over 34,Black/African/Caribbean/Black British - Caribbean,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-02T15:09:00+00:00,,,52.511974,-1.932250,,,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person and Vehicle search,2020-08-02T15:33:00+00:00,,,52.448085,-1.847407,,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Vehicle search,2020-08-02T15:47:00+00:00,,,52.488715,-2.070248,,,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,
Person and Vehicle search,2020-08-02T15:54:00+00:00,,,52.448085,-1.847407,,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person search,2020-08-02T16:08:00+00:00,,,52.481417,-1.894661,,over 34,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-02T17:30:00+00:00,,,52.563424,-1.820734,,10-17,Asian/Asian British - Pakistani,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,False
Person search,2020-08-02T17:30:00+00:00,,,52.563424,-1.820734,,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,False
Person search,2020-08-02T17:30:00+00:00,,,52.563424,-1.820734,,10-17,Mixed/Multiple ethnic groups - White and Black Caribbean,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,False
Person search,2020-08-02T19:04:00+00:00,,,52.376325,-1.747059,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,False
Person search,2020-08-02T19:32:00+00:00,,,52.375963,-1.750058,,18-24,White - English/Welsh/Scottish/Northern Irish/British,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Vehicle search,2020-08-02T19:33:00+00:00,,,52.375963,-1.750058,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,
Person search,2020-08-02T19:47:00+00:00,,,52.426816,-1.480687,,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-02T20:36:00+00:00,,,52.469692,-1.781443,,10-17,Mixed/Multiple ethnic groups - White and Black Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,
Person search,2020-08-02T21:52:00+00:00,,,52.500399,-1.924460,,25-34,Black/African/Caribbean/Black British - African,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person search,2020-08-02T23:42:00+00:00,,,52.539325,-2.060598,,25-34,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,False
Person search,2020-08-03T05:38:00+00:00,,,52.536775,-1.843768,,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person search,2020-08-03T05:38:00+00:00,,,52.536775,-1.843768,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person search,2020-08-03T08:52:00+00:00,,,52.483726,-1.892918,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,,,False
Person search,2020-08-03T09:55:00+00:00,,,52.476433,-1.890594,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-03T09:55:00+00:00,,,52.480169,-1.896092,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-03T10:31:00+00:00,,,52.480169,-1.896092,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-03T11:35:00+00:00,,,52.480049,-1.893280,,,White - Any other White background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,False
Vehicle search,2020-08-03T11:45:00+00:00,,,52.484971,-1.936665,,,,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,,
Person search,2020-08-03T14:40:00+00:00,,,52.476433,-1.890594,,10-17,White - Any other White background,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2020-08-03T14:40:00+00:00,,,52.476433,-1.890594,,10-17,White - Any other White background,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2020-08-03T14:40:00+00:00,,,52.476433,-1.890594,,10-17,White - Any other White background,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2020-08-03T14:40:00+00:00,,,52.476433,-1.890594,,10-17,White - Any other White background,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2020-08-03T14:45:00+00:00,,,52.477397,-1.892756,,18-24,Asian/Asian British - Any other Asian background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-03T14:51:00+00:00,,,52.477784,-1.893786,,18-24,Black/African/Caribbean/Black British - African,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-03T15:00:00+00:00,,,52.418426,-1.501135,,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,False
Person search,2020-08-03T15:20:00+00:00,,,52.476614,-1.892331,,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person search,2020-08-03T15:25:00+00:00,,,52.404347,-1.906838,,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person search,2020-08-03T15:25:00+00:00,,,52.404347,-1.906838,,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
