Address,Address 1,2,3,4,5,6
BL2 6NT,Breightmet Fold Lane, Bolton, Lancashire, BL2 6NT,,
S3 7ND,St George's Community Health Centre, Winter Street, Sheffield, S3 7ND,,
SK10 3SJ,Off Redesmere Close, Victoria Road, Macclesfield, Cheshire, SK10 3SJ,
WA1 1SR,85/101 Sankey Street, Warrington, Cheshire, WA1 1SR,,
L13 4AW,Rathbone Hospital, Mill Lane, Liverpool, L13 4AW,,
CW1 2ER,45 Delamere Street, Crewe, Cheshire, CW1 2ER,,
CH42 0LQ,"Stein Centre, St Catherines Hospital", Derby Road, Tranmere, Wirral, Cheshire, CH42 0LQ
CH2 1BQ,Upton Lea, The Countess Of Chester Health Park, Liverpool Road, Chester, Cheshire, CH2 1BQ
LN1 1FS,Carholme Court, St George's Site, Long Leys Road, Lincoln, Lincolnshire, LN1 1FS
ST16 3SR,Corporation Street, Stafford, Staffordshire, ST16 3SR,,
WS3 3BW,Abbotts Street, Bloxwich, Walsall, West Midlands, WS3 3BW,
NE6 4QD,Benfield Road, Newcastle-upon-Tyne, Tyne and Wear, NE6 4QD,,
SY1 4RQ,Severn Fields Health Village, Sundorne Road, Shrewsbury, Shropshire, SY1 4RQ,
NN16 9JH,SATRA House, Rockingham Road, Kettering, Northamptonshire, NN16 9JH,
PE30 5PD,Goodwins Road, King's Lynn, PE30 5PD,,,
GL50 4BW,St Pauls Medical Centre, Swindon Road, Cheltenham, Gloucestershire, GL50 4BW,
NR2 4HN,120 Hotblack Road, NR2 4HN,,,,
SL6 6DU,St Mark's Road, Maidenhead, Berkshire, Berkshire, SL6 6DU,
NR30 1BU,Northgate Street, Great Yarmouth, Norfolk, NR30 1BU,,
RG1 5LR,Erleigh Road, 25 Erleigh Road, Reading, Berkshire, RG1 5LR,
CO1 1RB,North Station Road, Colchester, Essex, CO1 1RB,,
IP3 8LY,3 and 4 Walker Close, Ipswich, Suffolk, IP3 8LY,,
RG21 8UN,Bramblys Drive, Basingstoke, Hampshire, RG21 8UN,,
BA5 1TJ,Priory Park, Glastonbury Rd, Wells, BA5 1TJ,,
TA6 5AT,Church Street, Bridgwater, Somerset, TA6 5AT,,
RH12 1RJ,North Street, Horsham, West Sussex, RH12 1RJ,,
TA2 7PQ,Wellsprings Road, Taunton, Somerset, TA2 7PQ,,
BA20 2BN,Summerlands, Preston Rd, Yeovil, Somerset, BA20 2BN,
PO16 7ES,Osborn Road, Fareham, PO16 7ES,,,
RH16 4NQ,Chalkhill, Based on the Princess Royal Hospital site, Lewes Road, Haywards Heath, West Sussex, RH16 4NQ
TN37 7PT,The Ridge, St. Leonards-on-Sea, East Sussex, TN37 7PT,,
