date_text,date,week ending friday,week ending thursday,week ending wednesday,week ending tuesday,week ending monday,week ending sunday,week ending saturday
"Thursday, 30 January 2020",2020-01-30,2020-01-31,2020-01-30,2020-02-05,2020-02-04,2020-02-03,2020-02-02,2020-02-01
"Friday, 31 January 2020",2020-01-31,2020-01-31,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-02-02,2020-02-01
"Saturday, 1 February 2020",2020-02-01,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-02-02,2020-02-01
"Sunday, 2 February 2020",2020-02-02,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-02-02,2020-02-08
"Monday, 3 February 2020",2020-02-03,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-02-09,2020-02-08
"Tuesday, 4 February 2020",2020-02-04,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-10,2020-02-09,2020-02-08
"Wednesday, 5 February 2020",2020-02-05,2020-02-07,2020-02-06,2020-02-05,2020-02-11,2020-02-10,2020-02-09,2020-02-08
"Thursday, 6 February 2020",2020-02-06,2020-02-07,2020-02-06,2020-02-12,2020-02-11,2020-02-10,2020-02-09,2020-02-08
"Friday, 7 February 2020",2020-02-07,2020-02-07,2020-02-07,2020-02-12,2020-02-11,2020-02-10,2020-02-09,2020-02-08
"Saturday, 8 February 2020",2020-02-08,2020-02-14,2020-02-14,2020-02-12,2020-02-11,2020-02-10,2020-02-09,2020-02-08
"Sunday, 9 February 2020",2020-02-09,2020-02-14,2020-02-14,2020-02-12,2020-02-11,2020-02-10,2020-02-09,2020-02-15
"Monday, 10 February 2020",2020-02-10,2020-02-14,2020-02-14,2020-02-12,2020-02-11,2020-02-10,2020-02-16,2020-02-15
"Tuesday, 11 February 2020",2020-02-11,2020-02-14,2020-02-14,2020-02-12,2020-02-11,2020-02-17,2020-02-16,2020-02-15
"Wednesday, 12 February 2020",2020-02-12,2020-02-14,2020-02-14,2020-02-12,2020-02-18,2020-02-17,2020-02-16,2020-02-15
"Thursday, 13 February 2020",2020-02-13,2020-02-14,2020-02-14,2020-02-19,2020-02-18,2020-02-17,2020-02-16,2020-02-15
"Friday, 14 February 2020",2020-02-14,2020-02-14,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-16,2020-02-15
"Saturday, 15 February 2020",2020-02-15,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-16,2020-02-15
"Sunday, 16 February 2020",2020-02-16,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-16,2020-02-22
"Monday, 17 February 2020",2020-02-17,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-23,2020-02-22
"Tuesday, 18 February 2020",2020-02-18,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-24,2020-02-23,2020-02-22
"Wednesday, 19 February 2020",2020-02-19,2020-02-21,2020-02-20,2020-02-19,2020-02-25,2020-02-24,2020-02-23,2020-02-22
"Thursday, 20 February 2020",2020-02-20,2020-02-21,2020-02-20,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-22
"Friday, 21 February 2020",2020-02-21,2020-02-21,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-22
"Saturday, 22 February 2020",2020-02-22,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-22
"Sunday, 23 February 2020",2020-02-23,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-29
"Monday, 24 February 2020",2020-02-24,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-03-01,2020-02-29
"Tuesday, 25 February 2020",2020-02-25,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-03-02,2020-03-01,2020-02-29
"Wednesday, 26 February 2020",2020-02-26,2020-02-28,2020-02-27,2020-02-26,2020-03-03,2020-03-02,2020-03-01,2020-02-29
"Thursday, 27 February 2020",2020-02-27,2020-02-28,2020-02-27,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-02-29
"Friday, 28 February 2020",2020-02-28,2020-02-28,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-02-29
"Saturday, 29 February 2020",2020-02-29,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-02-29
"Sunday, 1 March 2020",2020-03-01,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-03-07
"Monday, 2 March 2020",2020-03-02,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-08,2020-03-07
"Tuesday, 3 March 2020",2020-03-03,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-09,2020-03-08,2020-03-07
"Wednesday, 4 March 2020",2020-03-04,2020-03-06,2020-03-05,2020-03-04,2020-03-10,2020-03-09,2020-03-08,2020-03-07
"Thursday, 5 March 2020",2020-03-05,2020-03-06,2020-03-05,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07
"Friday, 6 March 2020",2020-03-06,2020-03-06,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07
"Saturday, 7 March 2020",2020-03-07,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07
"Sunday, 8 March 2020",2020-03-08,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-14
"Monday, 9 March 2020",2020-03-09,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-15,2020-03-14
"Tuesday, 10 March 2020",2020-03-10,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-16,2020-03-15,2020-03-14
"Wednesday, 11 March 2020",2020-03-11,2020-03-13,2020-03-12,2020-03-11,2020-03-17,2020-03-16,2020-03-15,2020-03-14
"Thursday, 12 March 2020",2020-03-12,2020-03-13,2020-03-12,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14
"Friday, 13 March 2020",2020-03-13,2020-03-13,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14
"Saturday, 14 March 2020",2020-03-14,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14
