,"Total social housing stock including intermediate tenures, intermediate rents and other social housing "
Wales ,237717
Isle of Anglesey ,4955
Gwynedd ,8922
Conwy ,6742
Denbighshire ,6003
Flintshire ,10410
Wrexham ,13569
Powys ,8707
Ceredigion ,3469
Pembrokeshire ,8936
Carmarthenshire ,12615
Swansea ,22062
Neath Port Talbot ,12703
Bridgend ,9349
Vale of Glamorgan ,7270
Cardiff ,27247
Rhondda Cynon Taf ,15733
Merthyr Tydfil ,5973
Caerphilly ,15138
Blaenau Gwent ,7862
Torfaen ,10318
Monmouthshire ,5744
Newport ,13990
