ons_id,ons_region_id,constituency_name,county_name,region_name,country_name,constituency_type,declaration_time,mp_firstname,mp_surname,mp_gender,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,brexit,green,snp,pc,dup,sf,sdlp,uup,alliance,all_other_candidates,of_which_other_winner
W07000049,W92000004,Aberavon,West Glamorgan,Wales,Wales,County,13/12/2019 02:30,Stephen,Kinnock,Male,Lab hold,Lab,Con,50750,31598,82,10490,6518,17008,1072,3108,450,0,2711,0,0,0,0,0,731,0
W07000058,W92000004,Aberconwy,Clwyd,Wales,Wales,County,13/12/2019 03:09,Robin,Millar,Male,Con hold,Con,Lab,44699,31865,123,2034,14687,12653,1821,0,0,0,2704,0,0,0,0,0,0,0
S14000001,S92000003,Aberdeen North,Scotland,Scotland,Scotland,Borough,13/12/2019 03:13,Kirsty,Blackman,Female,SNP hold,SNP,Con,62489,37413,72,12670,7535,4939,2846,1008,880,20205,0,0,0,0,0,0,0,0
S14000002,S92000003,Aberdeen South,Scotland,Scotland,Scotland,Borough,13/12/2019 03:34,Stephen,Flynn,Male,SNP gain from Con,SNP,Con,65719,45638,131,3990,16398,3834,5018,0,0,20388,0,0,0,0,0,0,0,0
S14000003,S92000003,Airdrie and Shotts,Scotland,Scotland,Scotland,County,13/12/2019 02:59,Neil,Gray,Male,SNP hold,SNP,Lab,64011,39772,91,5201,7011,12728,1419,0,685,17929,0,0,0,0,0,0,0,0
E14000530,E12000008,Aldershot,Hampshire,South East,England,Borough,13/12/2019 02:26,Leo,Docherty,Male,Con hold,Con,Lab,72617,47932,251,16698,27980,11282,6920,0,1750,0,0,0,0,0,0,0,0,0
E14000531,E12000005,Aldridge-Brownhills,West Midlands,West Midlands,England,Borough,13/12/2019 02:51,Wendy,Morton,Female,Con hold,Con,Lab,60138,39342,152,19836,27850,8014,2371,0,771,0,0,0,0,0,0,0,336,0
E14000532,E12000002,Altrincham and Sale West,Greater Manchester,North West,England,Borough,13/12/2019 04:35,Graham,Brady,Male,Con hold,Con,Lab,73107,54763,173,6139,26311,20172,6036,0,1566,0,0,0,0,0,0,0,678,0
W07000043,W92000004,Alyn and Deeside,Clwyd,Wales,Wales,County,13/12/2019 04:30,Mark,Tami,Male,Lab hold,Lab,Con,62789,43008,121,213,18058,18271,2548,2678,0,0,1453,0,0,0,0,0,0,0
E14000533,E12000004,Amber Valley,Derbyshire,East Midlands,England,County,13/12/2019 03:15,Nigel,Mills,Male,Con hold,Con,Lab,69976,45567,151,16886,29096,12210,2873,0,1388,0,0,0,0,0,0,0,0,0
S14000004,S92000003,Angus,Scotland,Scotland,Scotland,County,13/12/2019 01:55,Dave,Doogan,Male,SNP gain from Con,SNP,Con,63952,43170,92,3795,17421,2051,2482,0,0,21216,0,0,0,0,0,0,0,0
W07000057,W92000004,Arfon,Gwynedd,Wales,Wales,County,13/12/2019 01:55,Hywel,Williams,Male,PC hold,PC,Lab,42215,29074,92,2781,4428,10353,0,1159,0,0,13134,0,0,0,0,0,0,0
S14000005,S92000003,Argyll and Bute,Scotland,Scotland,Scotland,County,13/12/2019 05:43,Brendan,O'Hara,Male,SNP hold,SNP,Con,66525,48050,142,4110,16930,3248,6832,0,0,21040,0,0,0,0,0,0,0,0
E14000534,E12000008,Arundel and South Downs,West Sussex,South East,England,County,13/12/2019 08:09,Andrew,Griffith,Male,Con hold,Con,LD,81726,61408,287,22521,35566,9722,13045,0,2519,0,0,0,0,0,0,0,556,0
E14000535,E12000004,Ashfield,Nottinghamshire,East Midlands,England,County,13/12/2019 04:13,Lee,Anderson,Male,Con gain from Lab,Con,Ashfield Independents,78204,48980,118,5733,19231,11971,1105,2501,674,0,0,0,0,0,0,0,13498,0
E14000536,E12000008,Ashford,Kent,South East,England,County,13/12/2019 03:03,Damian,Green,Male,Con hold,Con,Lab,89553,60059,279,24029,37270,13241,6048,0,2638,0,0,0,0,0,0,0,862,0
E14000537,E12000002,Ashton-Under-Lyne,Greater Manchester,North West,England,Borough,13/12/2019 04:05,Angela,Rayner,Female,Lab hold,Lab,Con,67978,38579,125,4263,14281,18544,1395,3151,1208,0,0,0,0,0,0,0,0,0
E14000538,E12000008,Aylesbury,Buckinghamshire,South East,England,County,13/12/2019 04:29,Rob,Butler,Male,Con hold,Con,Lab,86665,60576,279,17373,32737,15364,10081,0,2394,0,0,0,0,0,0,0,0,0
S14000006,S92000003,"Ayr, Carrick and Cumnock",Scotland,Scotland,Scotland,County,13/12/2019 03:52,Allan,Dorans,Male,SNP gain from Con,SNP,Con,71970,46592,138,2329,17943,6219,2158,0,0,20272,0,0,0,0,0,0,0,0
E14000539,E12000008,Banbury,Oxfordshire,South East,England,County,13/12/2019 04:53,Victoria,Prentis,Female,Con hold,Con,Lab,90116,62921,355,16813,34148,17335,8831,0,2607,0,0,0,0,0,0,0,0,0
S14000007,S92000003,Banff and Buchan,Scotland,Scotland,Scotland,County,13/12/2019 05:03,David,Duguid,Male,Con hold,Con,SNP,66655,42260,96,4118,21182,1734,2280,0,0,17064,0,0,0,0,0,0,0,0
E14000540,E12000007,Barking,London,London,England,Borough,13/12/2019 03:42,Margaret,Hodge,Female,Lab hold,Lab,Con,77953,44499,120,15427,11792,27219,1482,3186,820,0,0,0,0,0,0,0,0,0
E14000541,E12000003,Barnsley Central,South Yorkshire,Yorkshire and The Humber,England,Borough,13/12/2019 02:14,Daniel,Jarvis,Male,Lab hold,Lab,Brexit,65277,36903,105,3571,7892,14804,1176,11233,900,0,0,0,0,0,0,0,898,0
E14000542,E12000003,Barnsley East,South Yorkshire,Yorkshire and The Humber,England,County,13/12/2019 02:00,Stephanie,Peacock,Female,Lab hold,Lab,Brexit,69504,38070,110,3217,10377,14329,1330,11112,922,0,0,0,0,0,0,0,0,0
E14000543,E12000002,Barrow and Furness,Cumbria,North West,England,County,13/12/2019 03:20,Simon,Fell,Male,Con gain from Lab Coop,Con,Lab,70158,46046,92,5789,23876,18087,2025,1355,703,0,0,0,0,0,0,0,0,0
E14000544,E12000006,Basildon and Billericay,Essex,East,England,Borough,13/12/2019 01:48,John,Baron,Male,Con hold,Con,Lab,69906,44128,185,20412,29590,9178,3741,0,1395,0,0,0,0,0,0,0,224,0
E14000545,E12000008,Basingstoke,Hampshire,South East,England,Borough,13/12/2019 02:58,Maria,Miller,Female,Con hold,Con,Lab,82928,54713,244,14198,29593,15395,6841,0,2138,0,0,0,0,0,0,0,746,0
E14000546,E12000004,Bassetlaw,Nottinghamshire,East Midlands,England,County,13/12/2019 03:38,Brendan,Clarke-Smith,Male,Con gain from Lab,Con,Lab,80024,50841,211,14013,28078,14065,3332,5366,0,0,0,0,0,0,0,0,0,0
E14000547,E12000009,Bath,Avon,South West,England,Borough,13/12/2019 02:59,Wera,Hobhouse,Female,LD hold,LD,Con,67805,52138,192,12322,16097,6639,28419,642,0,0,0,0,0,0,0,0,341,0
E14000548,E12000003,Batley and Spen,West Yorkshire,Yorkshire and The Humber,England,Borough,13/12/2019 05:16,Tracy,Brabin,Female,Lab hold,Lab,Con,79558,52927,104,3525,19069,22594,2462,1678,692,0,0,0,0,0,0,0,6432,0
E14000549,E12000007,Battersea,London,London,England,Borough,13/12/2019 02:34,Marsha,De Cordova,Female,Lab hold,Lab,Con,79350,59977,157,5668,21622,27290,9150,386,1529,0,0,0,0,0,0,0,0,0
E14000550,E12000008,Beaconsfield,Buckinghamshire,South East,England,County,13/12/2019 04:09,Joy,Morrissey,Female,Con hold,Con,Ind,77720,57868,167,15712,32477,5756,0,0,2033,0,0,0,0,0,0,0,17602,0
E14000551,E12000007,Beckenham,London,London,England,Borough,13/12/2019 04:16,Bob,Stewart,Male,Con hold,Con,Lab,68662,50555,236,14258,27282,13024,8194,0,2055,0,0,0,0,0,0,0,0,0
