,FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Scores,SchemeType,NewRatingPending,Geocode,AddressLine3,AddressLine4
0,1398444,PI/000243542,1st Choice Store,Retailers - other,4613,83 High Street,Stourbridge,DY8 1ED,5,fhrs_5_en-GB,2021-06-23,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
1,1303292,PI/000242851,4 Seasons Pizza,Takeaway/sandwich shop,7844,12-14 High Street,Sedgley,DY3 1RW,3,fhrs_3_en-GB,2021-02-17,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Dudley,
2,629841,PI/000136673,6 5 Special Lunch Club,Other catering premises,7841,Carters Lane Baptist Church And Hall,Carters Lane,B62 0BX,5,fhrs_5_en-GB,2020-01-20,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Halesowen,
3,500219,PI/000010430,7 Til Late Convenience Store,Retailers - other,4613,Unit 2,12 Bush Road,DY2 0BH,4,fhrs_4_en-GB,2019-11-11,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Netherton,Dudley
4,1212190,PI/000241264,876 Lounge,Takeaway/sandwich shop,7844,70 High Street,Dudley,DY1 1PY,3,fhrs_3_en-GB,2019-12-04,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
5,501187,PI/000049888,A & B News Convenience & Off Licence,Retailers - other,4613,34-36 Poole Crescent,Coseley,WV14 8SU,4,fhrs_4_en-GB,2019-06-11,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Bilston,
6,500734,PI/000030466,A & R Bennett,Retailers - other,4613,Dudley Market,Market Place,DY1 1PJ,4,fhrs_4_en-GB,2012-08-23,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Dudley,
7,1203263,PI/000241267,A Atwal Convenience Store Ltd,Retailers - supermarkets/hypermarkets,7840,99 Bridgnorth Road,Wollaston,DY8 3NY,1,fhrs_1_en-GB,2019-10-29,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Stourbridge,
8,501546,PI/000067707,"A E Sidaway, Butcher",Retailers - other,4613,Shop,31 Windmill Hill,B63 2DB,2,fhrs_2_en-GB,2019-01-22,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Cradley,Halesowen
9,717415,PI/000152680,A K Grill,Takeaway/sandwich shop,7844,312 Long Lane,Halesowen,B62 9LD,1,fhrs_1_en-GB,2019-08-08,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
10,501529,PI/000066234,A K Halal Meat Centre,Retailers - other,4613,72 Wellington Road,Dudley,DY1 1UH,4,fhrs_4_en-GB,2012-12-06,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
11,744514,PI/000159434,A Shed Load Of Cake,Other catering premises,7841,,,,5,fhrs_5_en-GB,2015-03-13,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
12,1042827,PI/000238114,A Slice of Life Cake Design,Other catering premises,7841,,,,5,fhrs_5_en-GB,2018-04-09,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
13,500032,PI/000000908,A&A Convenience Store,Retailers - other,4613,2 Alexandra Road,Halesowen,B63 4DJ,2,fhrs_2_en-GB,2019-01-30,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
14,1285729,PI/000242152,A&L Convenience Store Ltd,Retailers - other,4613,176 Thorns Road,Quarry Bank,DY5 2JY,1,fhrs_1_en-GB,2020-09-23,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Brierley Hill,
15,1276875,PI/000242637,A&M Quality Food Ltd,Retailers - other,4613,194 High Street,Dudley,DY1 1QE,4,fhrs_4_en-GB,2020-12-04,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
16,500857,PI/000034788,Aashiqs Restaurant,Restaurant/Cafe/Canteen,1,52 Kent Street,Upper Gornal,DY3 1UY,3,fhrs_3_en-GB,2019-09-19,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Dudley,
