Westminster constituency name,ONS code,General election win 2010,11/2012 general and by-election win,11/2012 Member of Parliament
Aberavon,W07000049,Labour,Hywel Francis (Labour),Labour
Aberconwy,W07000058,Conservative,Guto Bebb (Conservative),Conservative
Aberdeen North,S14000001,Labour,Frank Doran (Labour),Labour
Aberdeen South,S14000002,Labour,Anne Begg (Labour),Labour
Airdrie and Shotts,S14000003,Labour,Pamela Nash (Labour),Labour
Aldershot,E14000530,Conservative,Gerald Howarth (Conservative),Conservative
Aldridge-Brownhills,E14000531,Conservative,Richard Shepherd (Conservative),Conservative
Altrincham and Sale West,E14000532,Conservative,Graham Brady (Conservative),Conservative
Alyn and Deeside,W07000043,Labour,Mark Tami (Labour),Labour
Amber Valley,E14000533,Conservative,Nigel Mills (Conservative),Conservative
Angus,S14000004,SNP,Michael Weir (SNP),SNP
Arfon,W07000057,PC,Hywel Williams (Plaid Cymru),PC
Argyll and Bute,S14000005,Lib-Dem,Alan Reid (Liberal Democrat),Lib-Dem
Arundel and South Downs,E14000534,Conservative,Nick Herbert (Conservative),Conservative
Ashfield,E14000535,Labour,Gloria De Piero (Labour),Labour
Ashford,E14000536,Conservative,Damian Green (Conservative),Conservative
Ashton-under-Lyne,E14000537,Labour,David Heyes (Labour),Labour
Aylesbury,E14000538,Conservative,David Lidington (Conservative),Conservative
"Ayr, Carrick and Cumnock",S14000006,Labour,Sandra Osborne (Labour),Labour
Banbury,E14000539,Conservative,Tony Baldry (Conservative),Conservative
Banff and Buchan,S14000007,SNP,Eilidh Whiteford (SNP),SNP
Barking,E14000540,Labour,Margaret Hodge (Labour),Labour
Barnsley Central,E14000541,Labour,Dan Jarvis (Labour),Labour
Barnsley East,E14000542,Labour,Michael Dugher (Labour),Labour
Barrow and Furness,E14000543,Labour,John Woodcock (Labour),Labour
Basildon and Billericay,E14000544,Conservative,John Baron (Conservative),Conservative
Basingstoke,E14000545,Conservative,Maria Miller (Conservative),Conservative
Bassetlaw,E14000546,Labour,John Mann (Labour),Labour
Bath,E14000547,Lib-Dem,Don Foster (Liberal Democrat),Lib-Dem
Batley and Spen,E14000548,Labour,Mike Wood (Labour),Labour
Battersea,E14000549,Conservative,Jane Ellison (Conservative),Conservative
Beaconsfield,E14000550,Conservative,Dominic Grieve (Conservative),Conservative
Beckenham,E14000551,Conservative,Bob Stewart (Conservative),Conservative
Bedford,E14000552,Conservative,Richard Fuller (Conservative),Conservative
Bermondsey and Old Southwark,E14000553,Lib-Dem,Simon Hughes (Liberal Democrat),Lib-Dem
"Berwickshire, Roxburgh and Selkirk",S14000008,Lib-Dem,Michael Moore (Liberal Democrat),Lib-Dem
Berwick-upon-Tweed,E14000554,Lib-Dem,Alan Beith (Liberal Democrat),Lib-Dem
Bethnal Green and Bow,E14000555,Labour,Rushanara Ali (Labour),Labour
Beverley and Holderness,E14000556,Conservative,Graham Stuart (Conservative),Conservative
Bexhill and Battle,E14000557,Conservative,Gregory Barker (Conservative),Conservative
Bexleyheath and Crayford,E14000558,Conservative,David Evennett (Conservative),Conservative
Birkenhead,E14000559,Labour,Frank Field (Labour),Labour
Birmingham Edgbaston,E14000560,Labour,Gisela Stewart (Labour),Labour
Birmingham Erdington,E14000561,Labour,Jack Dromey (Labour),Labour
Birmingham Hall Green,E14000562,Labour,Roger Godsiff (Labour),Labour
Birmingham Hodge Hill,E14000563,Labour,Liam Byrne (Labour),Labour
Birmingham Ladywood,E14000564,Labour,Shabana Mahmood (Labour),Labour
Birmingham Northfield,E14000565,Labour,Richard Burden (Labour),Labour
Birmingham Perry Barr,E14000566,Labour,Khalid Mahmood (Labour),Labour
Birmingham Selly Oak,E14000567,Labour,Steve McCabe (Labour),Labour
Birmingham Yardley,E14000568,Lib-Dem,John Hemming (Liberal Democrats),Lib-Dem
Bishop Auckland,E14000569,Labour,Helen Goodman (Labour),Labour
Blackburn,E14000570,Labour,Jack Straw (Labour),Labour
Blackley and Broughton,E14000571,Labour,Graham Stringer (Labour),Labour
Blackpool North and Cleveleys,E14000572,Conservative,Paul Maynard (Conservative),Conservative
Blackpool South,E14000573,Labour,Gordon Marsden (Labour),Labour
Blaenau Gwent,W07000072,Labour,Nick Smith (Labour),Labour
Blaydon,E14000574,Labour,David Anderson (Labour),Labour
Blyth Valley,E14000575,Labour,Ronnie Campbell (Labour),Labour
Bognor Regis and Littlehampton,E14000576,Conservative,Nick Gibb (Conservative),Conservative
Bolsover,E14000577,Labour,Dennis Skinner (Labour),Labour
Bolton North East,E14000578,Labour,David Crausby (Labour),Labour
Bolton South East,E14000579,Labour,Yasmin Qureshi (Labour),Labour
Bolton West,E14000580,Labour,Julie Hilling (Labour),Labour
Bootle,E14000581,Labour,Joe Benton (Labour),Labour
Boston and Skegness,E14000582,Conservative,Mark Simmonds (Conservative),Conservative
Bosworth,E14000583,Conservative,David Tredinnick (Conservative),Conservative
Bournemouth East,E14000584,Conservative,Tobias Ellwood (Conservative),Conservative
Bournemouth West,E14000585,Conservative,Conor Burns (Conservative),Conservative
Bracknell,E14000586,Conservative,Phillip Lee (Conservative),Conservative
Bradford East,E14000587,Lib-Dem,David Ward (Liberal Democrat),Lib-Dem
Bradford South,E14000588,Labour,Gerry Sutcliffe (Labour),Labour
Bradford West,E14000589,Labour,George Galloway (Respect),Respect
Braintree,E14000590,Conservative,Brooks Newmark (Conservative),Conservative
Brecon and Radnorshire,W07000068,Lib-Dem,Roger Williams (Liberal Democrat),Lib-Dem
Brent Central,E14000591,Lib-Dem,Sarah Teather (Liberal Democrat),Lib-Dem
Brent North,E14000592,Labour,Barry Gardiner (Labour),Labour
Brentford and Isleworth,E14000593,Conservative,Mary McLeod (Conservative),Conservative
Brentwood and Ongar,E14000594,Conservative,Eric Pickles (Conservative),Conservative
Bridgend,W07000073,Labour,Madeleine Moon (Labour),Labour
Bridgwater and West Somerset,E14000595,Conservative,Ian Liddell-Grainger (Conservative),Conservative
Brigg and Goole,E14000596,Conservative,Andrew Percy (Conservative),Conservative
Brighton Kemptown,E14000597,Conservative,Simon Kirby (Conservative),Conservative
Brighton Pavilion,E14000598,Other,Caroline Lucas (Green),Green
Bristol East,E14000599,Labour,Kerry McCarthy (Labour),Labour
Bristol North West,E14000600,Conservative,Charlotte Leslie (Conservative),Conservative
Bristol South,E14000601,Labour,Dawn Primarolo (Labour),Labour
Bristol West,E14000602,Lib-Dem,Stephen Williams (Liberal Democrat),Lib-Dem
Broadland,E14000603,Conservative,Keith Simpson (Conservative),Conservative
Bromley and Chislehurst,E14000604,Conservative,Bob Neill (Conservative),Conservative
Bromsgrove,E14000605,Conservative,Sajid Javid (Conservative),Conservative
Broxbourne,E14000606,Conservative,Charles Walker (Conservative),Conservative
Broxtowe,E14000607,Conservative,Anna Soubry (Conservative),Conservative
Buckingham,E14000608,Other,John Bercow (Speaker),Speaker
Burnley,E14000609,Lib-Dem,Gordon Birtwistle (Liberal Democrat),Lib-Dem
Burton,E14000610,Conservative,Andrew Griffiths (Conservative),Conservative
Bury North,E14000611,Conservative,David Nuttall (Conservative),Conservative
Bury South,E14000612,Labour,Ivan Lewis (Labour),Labour
Bury St. Edmunds,E14000613,Conservative,David Ruffley (Conservative),Conservative
Caerphilly,W07000076,Labour,Wayne David (Labour),Labour
"Caithness, Sutherland and Easter Ross",S14000009,Lib-Dem,John Thurso (Liberal Democrat),Lib-Dem
Calder Valley,E14000614,Conservative,Craig Whittaker (Conservative),Conservative
Camberwell and Peckham,E14000615,Labour,Harriet Harman (Labour),Labour
Camborne and Redruth,E14000616,Conservative,George Eustice (Conservative),Conservative
Cambridge,E14000617,Lib-Dem,Julian Huppert (Liberal Democrat),Lib-Dem
Cannock Chase,E14000618,Conservative,Aidan Burley (Conservative),Conservative
Canterbury,E14000619,Conservative,Julian Brazier (Conservative),Conservative
Cardiff Central,W07000050,Lib-Dem,Jenny Willott (Liberal Democrat),Lib-Dem
Cardiff North,W07000051,Conservative,Jonathan Evans (Conservative),Conservative
Cardiff South and Penarth,W07000080,Labour,Stephen Doughty (Labour),Labour
Cardiff West,W07000079,Labour,Kevin Brennan (Labour),Labour
Carlisle,E14000620,Conservative,John Stevenson (Conservative),Conservative
Carmarthen East and Dinefwr,W07000067,PC,Jonathan Edwards (Plaid Cymru),PC
Carmarthen West and South Pembrokeshire,W07000066,Conservative,Simon Hart (Conservative),Conservative
Carshalton and Wallington,E14000621,Lib-Dem,Tom Brake (Liberal Democrat),Lib-Dem
Castle Point,E14000622,Conservative,Rebecca Harris (Conservative),Conservative
Central Ayrshire,S14000010,Labour,Brian H Donohoe (Labour),Labour
Central Devon,E14000623,Conservative,Mel Stride (Conservative),Conservative
Central Suffolk and North Ipswich,E14000624,Conservative,Daniel Poulter (Conservative),Conservative
Ceredigion,W07000064,Lib-Dem,Mark Williams (Liberal Democrat),Lib-Dem
Charnwood,E14000625,Conservative,Stephen Dorrell (Conservative),Conservative
Chatham and Aylesford,E14000626,Conservative,Tracey Crouch (Conservative),Conservative
Cheadle,E14000627,Lib-Dem,Mark Hunter (Liberal Democrat),Lib-Dem
Chelmsford,E14000628,Conservative,Simon Burns (Conservative),Conservative
Chelsea and Fulham,E14000629,Conservative,Greg Hands (Conservative),Conservative
Cheltenham,E14000630,Lib-Dem,Martin Horwood (Liberal Democrat),Lib-Dem
Chesham and Amersham,E14000631,Conservative,Cheryl Gillan (Conservative),Conservative
Chesterfield,E14000632,Labour,Toby Perkins (Labour),Labour
Chichester,E14000633,Conservative,Andrew Tyrie (Conservative),Conservative
Chingford and Woodford Green,E14000634,Conservative,Iain Duncan Smith (Conservative),Conservative
Chippenham,E14000635,Lib-Dem,Duncan Hames (Liberal Democrat),Lib-Dem
Chipping Barnet,E14000636,Conservative,Theresa Villiers (Conservative),Conservative
Chorley,E14000637,Labour,Lindsay Hoyle (Labour),Labour
Christchurch,E14000638,Conservative,Christopher Chope (Conservative),Conservative
Cities of London and Westminster,E14000639,Conservative,Mark Field (Conservative),Conservative
City of Chester,E14000640,Conservative,Stephen Mosley (Conservative),Conservative
City of Durham,E14000641,Labour,Roberta Blackman-Woods (Labour),Labour
Clacton,E14000642,Conservative,Douglas Carswell (Conservative),Conservative
Cleethorpes,E14000643,Conservative,Martin Vickers (Conservative),Conservative
Clwyd South,W07000062,Labour,Susan Elan Jones (Labour),Labour
Clwyd West,W07000059,Conservative,David Jones (Conservative),Conservative
"Coatbridge, Chryston and Bellshill",S14000011,Labour,Tom Clarke (Labour),Labour
Colchester,E14000644,Lib-Dem,Bob Russell (Liberal Democrat),Lib-Dem
Colne Valley,E14000645,Conservative,Jason McCartney (Conservative),Conservative
Congleton,E14000646,Conservative,Fiona Bruce (Conservative),Conservative
Copeland,E14000647,Labour,Jamie Reed (Labour),Labour
Corby,E14000648,Conservative,Andy Sawford (Labour),Labour
Coventry North East,E14000649,Labour,Bob Ainsworth (Labour),Labour
Coventry North West,E14000650,Labour,Geoffrey Robinson (Labour),Labour
Coventry South,E14000651,Labour,Jim Cunninhgham (Labour),Labour
Crawley,E14000652,Conservative,Henry Smith (Conservative),Conservative
Crewe and Nantwich,E14000653,Conservative,Edward Timpson (Conservative),Conservative
Croydon Central,E14000654,Conservative,Gavin Barwell (Conservative),Conservative
Croydon North,E14000655,Labour,Steve Reed (Labour),Labour
Croydon South,E14000656,Conservative,Richard Ottaway (Conservative),Conservative
"Cumbernauld, Kilsyth and Kirkintilloch East",S14000012,Labour,Gregg McClymont (Labour),Labour
Cynon Valley,W07000070,Labour,Ann Clwyd (Labour),Labour
Dagenham and Rainham,E14000657,Labour,Jon Cruddas (Labour),Labour
Darlington,E14000658,Labour,Jenny Chapman (Labour),Labour
Dartford,E14000659,Conservative,Gareth Johnson (Conservative),Conservative
Daventry,E14000660,Conservative,Chris Heaton-Harris (Conservative),Conservative
Delyn,W07000042,Labour,David Hanson (Labour),Labour
Denton and Reddish,E14000661,Labour,Andrew Gwynne (Labour),Labour
Derby North,E14000662,Labour,Chris Williamson (Labour),Labour
Derby South,E14000663,Labour,Margaret Beckett (Labour),Labour
Derbyshire Dales,E14000664,Conservative,Patrick McLoughlin (Conservative),Conservative
Devizes,E14000665,Conservative,Claire Perry (Conservative),Conservative
Dewsbury,E14000666,Conservative,Simon Reevell (Conservative),Conservative
Don Valley,E14000667,Labour,Caroline Flint (Labour),Labour
Doncaster Central,E14000668,Labour,Rosie Winterton (Labour),Labour
Doncaster North,E14000669,Labour,Ed Miliband (Labour),Labour
Dover,E14000670,Conservative,Charlie Elphicke (Conservative),Conservative
Dudley North,E14000671,Labour,Ian Austin (Labour),Labour
Dudley South,E14000672,Conservative,Chris Kelly (Conservative),Conservative
Dulwich and West Norwood,E14000673,Labour,Tessa Jowell (Labour),Labour
Dumfries and Galloway,S14000013,Labour,Russell Brown (Labour),Labour
"Dumfriesshire, Clydesdale and Tweeddale",S14000014,Conservative,David Mundell (Conservative),Conservative
Dundee East,S14000015,SNP,Stewart Hosie (SNP),SNP
Dundee West,S14000016,Labour,James McGovern (Labour),Labour
Dunfermline and West Fife,S14000017,Labour,Thomas Docherty (Labour),Labour
Dwyfor Meirionnydd,W07000061,PC,Elfyn Llwyd (Plaid Cymru),PC
Ealing Central and Acton,E14000674,Conservative,Angie Bray (Conservative),Conservative
Ealing North,E14000675,Labour,Stephen Pound (Labour),Labour
"Ealing, Southall",E14000676,Labour,Virendra Sharma (Labour),Labour
Easington,E14000677,Labour,Grahame Morris (Labour),Labour
East Devon,E14000678,Conservative,Hugo Swire (Conservative),Conservative
East Dunbartonshire,S14000018,Lib-Dem,Jo Swinson (Liberal Democrat),Lib-Dem
East Ham,E14000679,Labour,Stephen Timms (Labour),Labour
East Hampshire,E14000680,Conservative,Damian Hinds (Conservative),Conservative
"East Kilbride, Strathaven and Lesmahagow",S14000019,Labour,Michael McCann (Labour),Labour
East Lothian,S14000020,Labour,Fiona O'Donnell (Labour),Labour
East Renfrewshire,S14000021,Labour,Jim Murphy (Labour),Labour
East Surrey,E14000681,Conservative,Sam Gyimah (Conservative),Conservative
East Worthing and Shoreham,E14000682,Conservative,Tim Loughton (Conservative),Conservative
East Yorkshire,E14000683,Conservative,Greg Knight (Conservative),Conservative
Eastbourne,E14000684,Lib-Dem,Stephen Lloyd (Liberal Democrat),Lib-Dem
Eastleigh,E14000685,Lib-Dem,Chris Huhne (Liberal Democrat),Lib-Dem
Eddisbury,E14000686,Conservative,Stephen O'Brien (Conservative),Conservative
Edinburgh East,S14000022,Labour,Sheila Gilmore (Labour),Labour
Edinburgh North and Leith,S14000023,Labour,Mark Lazararowicz (Labour),Labour
Edinburgh South,S14000024,Labour,Ian Murray (Labour),Labour
Edinburgh South West,S14000025,Labour,Alistair Darling (Labour),Labour
Edinburgh West,S14000026,Lib-Dem,Michael Crockart (Liberal Democrat),Lib-Dem
Edmonton,E14000687,Labour,Andy Love (Labour),Labour
Ellesmere Port and Neston,E14000688,Labour,Andrew Miller (Labour),Labour
Elmet and Rothwell,E14000689,Conservative,Alec Shelbrooke (Conservative),Conservative
Eltham,E14000690,Labour,Clive Efford (Labour),Labour
Enfield North,E14000691,Conservative,Nick de Bois (Conservative),Conservative
"Enfield, Southgate",E14000692,Conservative,David Burrowes (Conservative),Conservative
Epping Forest,E14000693,Conservative,Eleanor Laing (Conservative),Conservative
Epsom and Ewell,E14000694,Conservative,Chris Grayling (Conservative),Conservative
Erewash,E14000695,Conservative,Jessica Lee (Conservative),Conservative
Erith and Thamesmead,E14000696,Labour,Teresa Pearce (Labour),Labour
Esher and Walton,E14000697,Conservative,Dominic Raab (Conservative),Conservative
Exeter,E14000698,Labour,Ben Bradshaw (Labour),Labour
Falkirk,S14000028,Labour,Eric Joyce (Labour),Labour
Fareham,E14000699,Conservative,Mark Hoban (Conservative),Conservative
Faversham and Mid Kent,E14000700,Conservative,Hugh Robertson (Conservative),Conservative
Feltham and Heston,E14000701,Labour,Seema Malhotra (Labour),Labour
Filton and Bradley Stoke,E14000702,Conservative,Jack Lopresti (Conservative),Conservative
Finchley and Golders Green,E14000703,Conservative,Mike Freer (Conservative),Conservative
Folkestone and Hythe,E14000704,Conservative,Damian Collins (Conservative),Conservative
Forest of Dean,E14000705,Conservative,Mark Harper (Conservative),Conservative
Fylde,E14000706,Conservative,Mark Menzies (Conservative),Conservative
Gainsborough,E14000707,Conservative,Edward Leigh (Conservative),Conservative
Garston and Halewood,E14000708,Labour,Maria Eagle (Labour),Labour
Gateshead,E14000709,Labour,Ian Mearns (Labour),Labour
Gedling,E14000710,Labour,Vernon Coaker (Labour),Labour
Gillingham and Rainham,E14000711,Conservative,Rehman Chishti (Conservative),Conservative
Glasgow Central,S14000029,Labour,Anas Sarwar (Labour),Labour
Glasgow East,S14000030,Labour,Margaret Curran (Labour),Labour
Glasgow North,S14000031,Labour,Ann McKechin (Labour),Labour
Glasgow North East,S14000032,Labour,Willie Bain (Labour),Labour
Glasgow North West,S14000033,Labour,John Robertson (Labour),Labour
Glasgow South,S14000034,Labour,Tom Harris (Labour),Labour
