Latitude,Longitude,Type,Date,Part of a policing operation,Policing operation,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
52.475316,-1.898415,Person search,2017-09-30T23:03:00+00:00,,,,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.472657,-1.911862,Person search,2017-10-01T00:10:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,FALSE
52.474887,-1.90083,Person search,2017-10-01T00:16:00+00:00,,,,18-24,Black/African/Caribbean/Black British - African,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.493367,-1.897784,Person and Vehicle search,2017-10-01T00:19:00+00:00,,,,,Black/African/Caribbean/Black British - Caribbean,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,TRUE,FALSE
52.493367,-1.897784,Person and Vehicle search,2017-10-01T00:26:00+00:00,,,,18-24,Black/African/Caribbean/Black British - Caribbean,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,TRUE,FALSE
52.473615,-1.896181,Person search,2017-10-01T01:08:00+00:00,,,,Oct-17,Mixed/Multiple ethnic groups - White and Black Caribbean,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.475153,-1.897223,Person search,2017-10-01T01:31:00+00:00,,,,18-24,Black/African/Caribbean/Black British - African,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.475153,-1.897223,Person search,2017-10-01T02:15:00+00:00,,,,25-34,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,FALSE,TRUE
52.480173,-1.900745,Person search,2017-10-01T04:02:00+00:00,,,,25-34,Asian/Asian British - Any other Asian background,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,
52.511521,-1.836063,Person and Vehicle search,2017-10-01T04:19:00+00:00,,,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,TRUE,FALSE
52.531303,-1.984965,Person search,2017-10-01T09:59:00+00:00,,,,18-24,White - Any other White background,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,FALSE
