NID_ID,STATE,DAM_NAME,OTHER_NAME,HAZARD,EAP,STATE_NAME,CONG_DIST,COUNTY,NEAR_CITY,DIST_CITY,RIVER,PRM_PURPOS,NID_DAMTYP,YEAR_COMPL,NID_HEIGHT,NID_STOR,DAM_LENGTH,MAX_DISCH,OWNER,OWN_TYPE,STATE_AGCY,FED_AGCY,NONFED_DAM,SECT_TOWN,PURPOSE,DAM_TYPE,DAM_HEIGHT,HYDR_HGT,STRUCT_HGT,NORM_STOR,MAX_STOR,SURF_AREA,DRAIN_AREA,SPILL_TYPE,SPILL_WDTH,NUM_LOCKS,LOCK_LEN,LOCK_WIDTH,VOLUME,INSP_DATE,PHASEI_INS,FD_CONSTRC,FD_DESIGN,FD_FUNDING,FD_INSPECT,FD_OPERATE,FD_OTHER,FD_OWNER,FD_REGULAT,SUPP_FED,SUPP_DATE,SOURC_AGCY,SOURC_DATE,SOURCE_ID,LONGITUD_X,LATITUDE_Y,FIPS_STATE,FIPS_CNTY,RECID
OH00001,OH,PLEASANT HILL DAM,PLEASANT HILL LAKE,HIGH,YES,OHIO,OH-16,ASHLAND,BRINKHAVEN,20,CLEAR FORK OF MOHICAN RIVER,FLOOD CONTROL,GRAVITY,1937,113,87700,775,19000,DAEN-ORH,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,CROF,RE,,97,113,13500,87700,2600,197,U,19,,,,632200,07/08/1990,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,71148,-82.326667,40.603333,39,39005,1
OH00002,OH,WILLS CREEK DAM,WILLS CREEK LAKE,HIGH,NO,OHIO,,MUSKINGUM AND COSHOCTON,WILLS CREEK,2,WILLS CREEK,FLOOD CONTROL,GRAVITY,1936,87,196000,1950,45800,DAEN-ORH,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,CROF,RE,,65,87,6000,196000,900,842,U,205,,,,559900,06/08/1991,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,18610,-81.846667,40.156667,39,,2
OH00003,OH,DOVER DAM,NONE,HIGH,NO,OHIO,OH-18,TUSCARAWAS,DOVER,4,TUSCARAWAS RIVER,FLOOD CONTROL,GRAVITY,1938,83,203000,824,123000,DAEN ORH,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,C,PG,,56,83,1000,203000,350,1405,U,338,,,,155500,11/06/1991,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,69012,-81.413333,40.556667,39,39157,3
OH00004,OH,BOLIVAR DAM,(NONE) DRY RESERVOIR,HIGH,NO,OHIO,,TUSCARAWAS AND STARK,BOLIVAR,2,SANDY CREEK,FLOOD CONTROL,GRAVITY,1938,87,149600,6300,61700,DAEN ORH,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,C,RE,,67,87,1,149600,1,504,U,540,,,,2316800,13/06/1991,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,69010,-81.43,40.658333,39,,4
OH00005,OH,BEACH CITY DAM,BEACH CITY LAKE,HIGH,NO,OHIO,OH-18,TUSCARAWAS,BEACH CITY,2,SUGAR CREEK OF TUSCARAWAS RVR,FLOOD CONTROL,GRAVITY,1936,64,71700,5600,28000,DAEN ORH,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,CRO,RE,,55,64,1700,71700,420,300,U,150,,,,1075900,19/08/1993,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,71139,-81.556667,40.636667,39,39157,5
OH00006,OH,ATWOOD DAM,ATWOOD LAKE,HIGH,YES,OHIO,OH-18,TUSCARAWAS,NEW CUMBERLAND,4,INDIAN FORK OF CONOTTON CREEK,FLOOD CONTROL,GRAVITY,1936,65,49700,3700,12800,DAEN ORH,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,CROF,RE,,55,65,23600,49700,1540,70,U,95,,,,276200,12/06/1991,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,71138,-81.285,40.526667,39,39157,6
OH00007,OH,DILLON DAM,DILLON LAKE,HIGH,NO,OHIO,OH-18,MUSKINGUM,ZANESVILLE,3,LICKING RIVER,FLOOD CONTROL,GRAVITY,1960,118,274000,1400,89700,DAEN-ORH,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,CROF,RE,,90,118,17500,274000,1560,742,U,292,,,,1670900,09/08/1994,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,04810,-82.08,39.991667,39,39119,7
OH00008,OH,DEER CREEK DAM,DEER CREEK LAKE,HIGH,YES,OHIO,OH-07,PICKAWAY,WILLIAMSPORT,9,DEER CREEK,FLOOD CONTROL,GRAVITY,1968,93,102540,3880,117000,DAEN-ORH,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,CROF,REPG,,81,93,21030,102540,1277,277,C,126,,,,1681091,11/09/1990,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,04520,-83.215,39.621667,39,39129,8
OH00009,OH,NORTH BRANCH OF KOKOSING DAM,NORTH BRANCH OF KOKOSING LAKE,HIGH,YES,OHIO,OH-04,KNOX,FREDERICKTOWN,2,NORTH BRANCH OF KOKOSING,FLOOD CONTROL,GRAVITY,1972,71,14885,1400,13500,DAEN-ORH,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,CROF,RE,,45,71,1043,14885,154,45,U,60,,,,990453,17/08/1993,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,12690,-82.576667,40.506667,39,39083,9
OH00010,OH,TAPPAN DAM,TAPPAN LAKE,HIGH,NO,OHIO,OH-18,HARRISON,DENNISON,7,LITTLE STILLWATER CREEK,FLOOD CONTROL,GRAVITY,1936,52,61600,1550,23700,DAEN ORH,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,CROF,RE,,45,52,35100,61600,2350,71,U,250,,,,644500,28/06/1994,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,71150,-81.226667,40.358333,39,39067,10
