institcode,institution_name,AZA
113010001,Zoologischer Garten Magdeburg,
113021003,Frankfurt Zoo,
120225003,Zoological Society of London,
310201002,Calgary Zoo,YES
310503002,Phoenix Zoo,YES
310503005,Reid Park Zoo,YES
310504002,Little Rock Zoological Gardens,YES
310505001,Charles Paddock Zoo,YES
310505014,Chaffee Zool Gardens of Fresno,YES
310505018,Los Angeles Zoo,YES
310505027,The Living Desert,YES
310505028,Marine World Africa USA,YES
310505032,San Diego Wild Animal Park,YES
310505033,San Diego Zoological Garden,YES
310505035,San Francisco Zoological Gardens,YES
310505051,Happy Hollow Zoo,YES
310506002,Cheyenne Mtn Zoological Park,YES
310506004,Denver Zoological Gardens,YES
310510015,Jacksonville Zoological Gardens,YES
310510040,Busch Gardens,YES
310510041,Lowry Park Zoological Garden,YES
310510047,Palm Beach Zoo at Dreher Park,YES
310510049,Miami Metrozoo,YES
310510061,ZooWorld,
310510062,Brevard Zoo,YES
310510072,Disney's Animal Kingdom,
310510363,White Oak Conservation Center /,
310511902,St. Catherines Island / WSC,
310514002,Miller Park Zoo,YES
310514004,Chicago Zoological Park,
310514006,Lincoln Park Zoo,YES
310515003,Mesker Park Zoo,YES
310515004,Fort Wayne Children's Zool Garden,YES
310517010,Sunset Zoo,YES
310517012,Topeka Zoological Park,YES
310517013,Sedgwick County Zoo,YES
310518002,Louisville Zoological Garden,YES
310519002,Greater Baton Rouge Zoo,YES
310519003,Louisiana Purchase Gardens & Zoo,
310521001,Baltimore Zoo,YES
310522003,Zoo New England (Franklin Park Zoo),
310523004,John Ball Zoological Garden,YES
310523005,Potter Park Zoological Gardens,YES
310524001,Lake Superior Zoological Gardens,YES
310524007,Minnesota Zoological Garden,YES
310525004,Jackson Zoological Park,YES
310526003,Kansas City Zoological Gardens,YES
310526006,St. Louis Zoological Park,YES
310528005,Omaha's Henry Doorly Zoo,YES
310528006,Riverside Zoo,YES
310533005,The Wildlife Conservation Society,YES
310533007,Buffalo Zoological Gardens,YES
310533024,Prospect Park Wildlife Center,YES
310533039,Burnet Park Zoo,YES
310534001,North Carolina Zoological Park,YES
310536005,Cincinnati Zoo & Botanical Garden,YES
310536007,Cleveland Metroparks Zoological Park,YES
310536012,Columbus Zoological Gardens,YES
310536016,Toledo Zoological Gardens,YES
310537005,Oklahoma City Zoological Park,YES
310537006,Tulsa Zoo and Living Museum,YES
310538008,Metro Washington Park Zoo,YES
310538702,Oregon Wildlife Foundation,
310539013,Philadelphia Zoological Gardens,YES
310540002,Roger Williams Park Zoo,YES
310541003,Riverbanks Zoo and Garden,YES
310543005,Knoxville Zoological Gardens,YES
310543007,Memphis Zoological Garden & Aquarium,YES
310544006,Gladys Porter Zoo,YES
310544009,El Paso Zoo,YES
310544010,Fort Worth Zoological Park,YES
310544016,Houston Zoological Gardens,YES
310544025,San Antonio Zool Garden & Aquarium,YES
310544028,Caldwell Zoo,YES
310544710,Fossil Rim Wildlife Center,YES
310547004,Virginia Zoological Park,YES
310547007,NZP-Conservation & Res.Center,
310548005,Woodland Park Zoological Gardens,YES
310550008,Milwaukee County Zoological Gardens,YES
310550010,Racine Zoological Garden,YES
421001900,King Khalid Wldf Res Cntr -Thumamah,
520101001,Auckland Zoological Park,
