TAXON,COMMONAME,HRANGE,STATUS
CERVUS DUVAUCELI,BARASINGHA/SWAMP DEER,"India, Nepal",E
ORYX LEUCORYX,ARABIAN ORYX,Arabian Peninsula,E
EQUUS GREVYI,GREVY'S ZEBRA,"Kenya, Ethiopia, Somalia",T
MACACA FUSCATA,JAPANESE MACAQUE,"Japan (Shikoku, Kyushu and Honshu Islands)",T
PAPIO SPHINX,MANDRILL,Equatorial West Africa,E
BOS GAURUS,GAUR,"Bangladesh, Southeast Asia, India",E
PAN TROGLODYTES,CHIMPANZEE,Africa-see 17.40(c)(3),E
PANTHERA ONCA,JAGUAR,"U.S.A. (AZ, CA, LA, NM, TX), Mexico, Central and South America",E
CERVUS NIPPON TAIOUANUS,SIKA DEER,Taiwan,E
PANTHERA PARDUS,LEOPARD,"Africa, Asia",T
SAGUINUS OEDIPUS,COTTON-HEADED TAMARIN,Costa Rica to Colombia,E
PANTHERA TIGRIS,TIGER,Temperate and tropical Asia,E
TAPIRUS TERRESTRIS,SOUTH AMERICAN TAPIR,Colombia and Venezuela south to Paraguay and Argentina,E
PANTHERA UNCIA,SNOW LEOPARD,Central Asia,E
EQUUS ZEBRA HARTMANNAE,HARTMANN'S MOUNTAIN ZEBRA,"Namibia, Angola",T
URSUS AMERICANUS,AMERICAN BLACK BEAR,North America,T(S/A)
GAZELLA LEPTOCEROS,SLENDER HORNED GAZELLE,"Sudan, Egypt, Algeria, Libya",E
DAMALISCUS DORCAS DORCAS,BONTEBOK,South Africa,E
NEOFELIS NEBULOSA,CLOUDED LEOPARD,"Southeastern and south-central Asia, Taiwan",E
EQUUS PRZEWALSKII,PRZEWALSKI'S WILD HORSE,"Mongolia, China",E
CAPRA FALCONERI MEGACEROS,KANDAHAR MARKHOR,"Afghanistan, Pakistan",E
CERCOPITHECUS DIANA,DIANA MONKEY,Coastal West Africa,E
CANIS LUPUS,GREY WOLF,Holarctic,E
LYCAON PICTUS,HUNTING DOG,Sub-Saharan Africa,E
CERCOCEBUS TORQUATUS,SOOTY MANGABEY,Senegal to Ghana; Nigeria to Gabon,E
FELIS PARDALIS,OCELOT,"U.S.A. (AZ, TX) to Central and South America",E
MACACA ARCTOIDES,STUMP-TAILED MACAQUE,India (Assam) to southern China,T
MACACA SILENUS,LION-TAILED MACAQUE,India,E
URSUS ARCTOS ARCTOS,BROWN BEAR,Palearctic,E
ELEPHAS MAXIMUS,INDIAN ELEPHANT,South-central and southeastern Asia,E
GAZELLA CUVIERI,EDMI GAZELLE,"Morocco, Algeria, Tunisia",E
GAZELLA SUBGUTTUROSA MARICA,ARABIAN SAND GAZELLE,"Jordan, Arabian Peninsula",E
THEROPITHECUS GELADA,GELADA BABOON,Ethiopia,T
FELIS WIEDII,MARGAY,"U.S.A. (TX), Central and South America",E
PANTHERA LEO PERSICA,ASIAN LION,Turkey to India,E
GAZELLA DAMA MHORR,ADDRA GAZELLE,Morocco,E
TAPIRUS INDICUS,MALAYAN TAPIR,"Burma, Laos, Cambodia, Vietnam, Malaysia, Indonesia, Thailand",E
FELIS BENGALENSIS BENGALENSIS,LEOPARD CAT,"India, Southeast Asia",E
LOXODONTA AFRICANA,AFRICAN ELEPHANT,Africa,T
FELIS TEMMINCKI,TEMMINCK'S GOLDEN CAT,"Nepal, China, Southeast Asia, Indonesia (Sumatra)",E
ACINONYX JUBATUS,CHEETAH,Africa to India,E
PONGO PYGMAEUS,ORANGUTAN,"Borneo, Sumatra",E
MUSTELA NIGRIPES,BLACK-FOOTED FERRET,"Western U.S.A., western Canada",E
KOBUS LECHE,LECHWE,Southern Africa,T
CALLIMICO GOELDII,GOELDI'S MONKEY,"Brazil, Colombia, Ecuador, Peru, Bolivia",E
PAPIO LEUCOPHAEUS,DRILL,Equatorial West Africa,E
PRESBYTIS ENTELLUS,ENTELLUS LANGUR,"China (Tibet), India, Pakistan, Kashmir, Sri Lanka, Sikkim, Bangladesh",E
URSUS ARCTOS,BROWN BEAR,Holarctic,T
PRESBYTIS SENEX,PURPLE-FACED LANGUR,Sri Lanka,T
DICEROS BICORNIS,BLACK RHINOCEROS,Sub-Saharan Africa,E
CHRYSOCYON BRACHYURUS,MANED WOLF,"Argentina, Bolivia, Brazil, Paraguay, Uruguay",E
RANGIFER TARANDUS CARIBOU,AMERICAN WOODLAND CARIBOU,"U.S.A. (AK, ID, ME, MI, MN, MT, NH, VT, WA, WI), Canada",E
CERVUS ELDI,ELD'S DEER,India to Southeast Asia,E
TAPIRUS BAIRDII,BAIRD'S TAPIR,Southern Mexico to Colombia and Ecuador,E
BETTONGIA PENICILLATA,BRUSH TAILED RAT-KANGAROO,Australia,E
URSUS AMERICANUS LUTEOLUS,AMERICAN BLACK BEAR,"U.S.A. (LA,  all counties; MS, all counties south of or touching a line from Greenville, Washington County, to Meridian, Lauderdale County; TX, all counties east of or touching a line from Linden, Cass County, SW to Bryan, Brazos County, thence SSW to Ro",T
CEPHALOPHUS JENTINKI,JENTINCK'S DUIKER,"Sierra Leone, Liberia, Ivory Coast",E
EQUUS HEMIONUS,ASIATIC WILD ASS,Southwestern and Central Asia,E
MACROPUS PARMA,WHITE-FRONTED WALLABY,Australia,E
OVIS AMMON,ARGALI,"Afganistan, China, India, Kazakhstan, Kyrgyzstan, Mongolia, Nepal, Pakistan, Russia, Tajikistan, Uzbekistan",E
NYCTICEBUS PYGMAEUS,LESSER SLOW LORIS,Indochina,T
HYAENA BRUNNEA,BROWN HYENA,Southern Africa,E
FELIS YAGOUAROUNDI FOSSATA,JAGUARUNDI,"Mexico, Nicaragua",E
RHINOCEROS UNICORNIS,GREAT INDIAN RHINOCEROS,"India, Nepal",E
