ISIS_KEY,DATEIN,institcode,DCODE,DATEOUT,RECIPIENT,RECIP_NAME,TYPE,TAXON,SEX,BIRTH_DATE,Age,ADDRESS,CITY,STATE,COUNTRY,COMMONAME
126504,15/09/1990,310510047,BD,04/08/1995,310514016,Grindstone Valley Zoological,,CALLIMICO GOELDII,1,15/09/1990,59,R.R. 1 Box 290,Chatham,IL,USA,GOELDI'S MONKEY
126516,06/03/1991,310510047,BD,04/08/1995,310514016,Grindstone Valley Zoological,,CALLIMICO GOELDII,1,06/03/1991,53,R.R. 1 Box 290,Chatham,IL,USA,GOELDI'S MONKEY
239206,21/04/1990,310547007,BD,21/05/1998,310517013,Sedgwick County Zoo,,CALLIMICO GOELDII,1,21/04/1990,97,5555 Zoo Blvd.,Wichita,KS,USA,GOELDI'S MONKEY
1435820,,310514004,BD,31/01/1995,310506004,Denver Zoological Gardens,,CALLIMICO GOELDII,,,,City Park,Denver,CO,USA,GOELDI'S MONKEY
1437087,,310514004,BD,31/01/1995,310505041,Santa Barbara Zoological Gardens,,CALLIMICO GOELDII,,,,500 Ninos Dr.,Santa Barbara,CA,USA,GOELDI'S MONKEY
1437683,,310514004,BD,31/01/1995,310544025,San Antonio Zool Garden & Aquarium,,CALLIMICO GOELDII,,,,3903 N St Mary's St.,San Antonio,TX,USA,GOELDI'S MONKEY
1437812,,310514004,BF,04/04/1996,310537005,Oklahoma City Zoological Park,,CALLIMICO GOELDII,,,,2101 NE 50th St.,Oklahoma City,OK,USA,GOELDI'S MONKEY
1438578,,310514004,BD,31/01/1995,310506002,Cheyenne Mtn Zoological Park,,CALLIMICO GOELDII,,,,4250 Cheyenne Mountain Zoo Rd.,Colorado Springs,CO,USA,GOELDI'S MONKEY
1438723,,310514004,BD,31/01/1995,310526007,Dickerson Park Zoo,,CALLIMICO GOELDII,,,,3043 North Fort,Springfield,MO,USA,GOELDI'S MONKEY
1439305,,310514004,BD,11/03/1996,310548005,Woodland Park Zoological Gardens,,CALLIMICO GOELDII,,,,5500 Phinney Ave N,Seattle,WA,USA,GOELDI'S MONKEY
1439532,07/12/1994,310547007,BD,15/03/1997,310509004,National Zoological Park - Wash,,CALLIMICO GOELDII,1,17/01/1989,98,3000 Blk of Connecticut Ave NW,Washington,DC,USA,GOELDI'S MONKEY
1440178,,310514004,BD,31/01/1995,310544025,San Antonio Zool Garden & Aquarium,,CALLIMICO GOELDII,,,,3903 N St Mary's St.,San Antonio,TX,USA,GOELDI'S MONKEY
1475381,23/07/1994,310526006,BD,09/04/1996,310533005,The Wildlife Conservation Society,,CALLIMICO GOELDII,1,23/07/1994,21,2300 Southern Blvd.,Bronx,NY,USA,GOELDI'S MONKEY
1476241,28/07/1992,310514004,BD,04/04/1996,310526006,St. Louis Zoological Park,,CALLIMICO GOELDII,1,28/07/1992,45,1 Government Dr.,St. Louis,MO,USA,GOELDI'S MONKEY
1533595,01/12/1993,310514004,BD,04/04/1996,310533005,The Wildlife Conservation Society,,CALLIMICO GOELDII,0,22/02/1991,62,2300 Southern Blvd.,Bronx,NY,USA,GOELDI'S MONKEY
1579528,,310514004,BD,31/01/1995,310526006,St. Louis Zoological Park,,CALLIMICO GOELDII,,,,1 Government Dr.,St. Louis,MO,USA,GOELDI'S MONKEY
1579528,31/01/1995,310526006,BD,09/04/1996,310533005,The Wildlife Conservation Society,,CALLIMICO GOELDII,0,01/12/1992,40,2300 Southern Blvd.,Bronx,NY,USA,GOELDI'S MONKEY
1579541,,310514004,BD,31/01/1995,310526006,St. Louis Zoological Park,,CALLIMICO GOELDII,,,,1 Government Dr.,St. Louis,MO,USA,GOELDI'S MONKEY
1815959,,120225003,BD,30/07/1997,999999997,GENERAL PUBLIC,GENERAL PUBLIC,CALLIMICO GOELDII,,,,,,,,GOELDI'S MONKEY
1818811,,310514004,BD,31/01/1995,310536007,Cleveland Metroparks Zoological Park,,CALLIMICO GOELDII,,,,3900 Wildlife Way,Cleveland,OH,USA,GOELDI'S MONKEY
1823150,08/01/1994,310514004,BD,11/09/1997,310506004,Denver Zoological Gardens,,CALLIMICO GOELDII,1,08/01/1994,44,City Park,Denver,CO,USA,GOELDI'S MONKEY
1831900,,310514004,BD,31/01/1995,310550008,Milwaukee County Zoological Gardens,,CALLIMICO GOELDII,,,,10001 W Bluemound Rd.,Milwaukee,WI,USA,GOELDI'S MONKEY
1832139,,310514004,BD,31/01/1995,310550008,Milwaukee County Zoological Gardens,,CALLIMICO GOELDII,,,,10001 W Bluemound Rd.,Milwaukee,WI,USA,GOELDI'S MONKEY
1920929,01/12/1993,310514004,BD,04/04/1996,310505041,Santa Barbara Zoological Gardens,,CALLIMICO GOELDII,1,18/10/1989,78,500 Ninos Dr.,Santa Barbara,CA,USA,GOELDI'S MONKEY
1991419,,310514004,BD,31/01/1995,310517013,Sedgwick County Zoo,,CALLIMICO GOELDII,,,,5555 Zoo Blvd.,Wichita,KS,USA,GOELDI'S MONKEY
1991436,,310514004,BD,31/01/1995,310517013,Sedgwick County Zoo,,CALLIMICO GOELDII,,,,5555 Zoo Blvd.,Wichita,KS,USA,GOELDI'S MONKEY
2038872,,310514004,BD,31/01/1995,310550008,Milwaukee County Zoological Gardens,,CALLIMICO GOELDII,,,,10001 W Bluemound Rd.,Milwaukee,WI,USA,GOELDI'S MONKEY
2052619,,310514004,BD,31/01/1995,310523004,John Ball Zoological Garden,,CALLIMICO GOELDII,,,,1300 W. Fulton St.,Grand Rapids,MI,USA,GOELDI'S MONKEY
2052619,31/01/1995,310523004,BD,05/11/1997,310548005,Woodland Park Zoological Gardens,,CALLIMICO GOELDII,1,04/04/1992,67,5500 Phinney Ave N,Seattle,WA,USA,GOELDI'S MONKEY
2052620,,310514004,BD,31/01/1995,310523004,John Ball Zoological Garden,,CALLIMICO GOELDII,,,,1300 W. Fulton St.,Grand Rapids,MI,USA,GOELDI'S MONKEY
2053149,,310514004,BD,31/01/1995,310517013,Sedgwick County Zoo,,CALLIMICO GOELDII,,,,5555 Zoo Blvd.,Wichita,KS,USA,GOELDI'S MONKEY
2053149,31/01/1995,310517013,BD,16/10/1996,310523004,John Ball Zoological Garden,,CALLIMICO GOELDII,3,16/12/1990,70,1300 W. Fulton St.,Grand Rapids,MI,USA,GOELDI'S MONKEY
2054287,08/07/1988,310514004,BD,22/01/1998,310533005,The Wildlife Conservation Society,,CALLIMICO GOELDII,1,08/07/1988,114,2300 Southern Blvd.,Bronx,NY,USA,GOELDI'S MONKEY
2100153,,310514004,BD,31/01/1995,310501001,Birmingham Zoo,,CALLIMICO GOELDII,,,,2630 Cahaba Rd.,Birmingham,AL,USA,GOELDI'S MONKEY
2100154,,310514004,BD,31/01/1995,310501001,Birmingham Zoo,,CALLIMICO GOELDII,,,,2630 Cahaba Rd.,Birmingham,AL,USA,GOELDI'S MONKEY
2161639,01/01/1988,310514004,BD,17/11/1997,310526006,St. Louis Zoological Park,,CALLIMICO GOELDII,1,01/01/1988,118,1 Government Dr.,St. Louis,MO,USA,GOELDI'S MONKEY
2173877,,310514004,BD,11/03/1996,310548005,Woodland Park Zoological Gardens,,CALLIMICO GOELDII,,,,5500 Phinney Ave N,Seattle,WA,USA,GOELDI'S MONKEY
2173877,11/03/1996,310548005,BD,20/04/1998,310523004,John Ball Zoological Garden,,CALLIMICO GOELDII,1,08/03/1988,121,1300 W. Fulton St.,Grand Rapids,MI,USA,GOELDI'S MONKEY
2194101,31/10/1994,310514004,BD,14/05/1998,310509004,National Zoological Park - Wash,,CALLIMICO GOELDII,0,31/10/1994,43,3000 Blk of Connecticut Ave NW,Washington,DC,USA,GOELDI'S MONKEY
2194345,24/06/1994,310510041,BD,14/07/1997,310514004,Chicago Zoological Park,,CALLIMICO GOELDII,0,09/10/1985,141,3300 Golf Rd.,Brookfield,IL,USA,GOELDI'S MONKEY
2194350,02/12/1992,310510061,BF,20/05/1998,310514004,Chicago Zoological Park,,CALLIMICO GOELDII,1,09/07/1987,130,3300 Golf Rd.,Brookfield,IL,USA,GOELDI'S MONKEY
